epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4371,4.5212,9.2993,2.10552,0,0,0,0,3.81729,4.89754,1.50699,0.00038583,0.00038583,0.00038583
2,42.0477,3.32773,5.0119,1.31955,8e-05,0.00804,0,0,2.77034,4.20053,1.20187,0.000779466,0.000779466,0.000779466
3,64.91,2.82215,3.73664,1.18806,0.60569,0.27495,0.29039,0.08273,2.52532,3.29933,1.15492,0.0011665,0.0011665,0.0011665
4,83.9402,2.65286,3.281,1.1624,0.39955,0.34594,0.36694,0.11924,2.41052,2.61898,1.13974,0.00139363,0.00139363,0.00139363
5,103.123,2.42557,2.83921,1.11525,0.50428,0.62297,0.50092,0.18598,2.28173,2.00741,1.12452,0.00138184,0.00138184,0.00138184
6,122.427,2.39312,2.73702,1.12671,0.43679,0.60853,0.44521,0.15813,2.23583,2.24052,1.10403,0.00137005,0.00137005,0.00137005
7,141.704,2.27281,2.48301,1.09454,0.46734,0.63881,0.50744,0.17641,2.15593,2.13346,1.08647,0.00135826,0.00135826,0.00135826
8,160.62,2.29119,2.46606,1.08712,0.57819,0.66831,0.638,0.23665,2.1167,1.80932,1.06402,0.00134648,0.00134648,0.00134648
9,179.896,2.29582,2.28294,1.08384,0.51213,0.61144,0.531,0.18839,2.15131,1.75642,1.04752,0.00133469,0.00133469,0.00133469
10,199.545,2.21969,2.19992,1.0781,0.52941,0.7589,0.64416,0.23399,2.02284,1.43481,1.03119,0.0013229,0.0013229,0.0013229
11,218.796,2.17084,2.07803,1.06259,0.66488,0.6659,0.64293,0.25305,2.02035,1.37887,1.05163,0.00131111,0.00131111,0.00131111
12,237.139,2.21142,1.97004,1.0548,0.5825,0.76009,0.64692,0.24454,1.97425,1.33796,1.03367,0.00129932,0.00129932,0.00129932
13,255.847,2.13554,1.85908,1.0381,0.69024,0.73751,0.72519,0.27245,2.02268,1.31916,1.03728,0.00128753,0.00128753,0.00128753
14,274.877,2.04991,1.81964,1.04126,0.72542,0.76436,0.74468,0.30131,1.92827,1.23749,1.01028,0.00127574,0.00127574,0.00127574
15,293.833,2.07713,1.78067,1.04915,0.75556,0.74363,0.75342,0.30512,1.93063,1.22516,1.01353,0.00126395,0.00126395,0.00126395
16,312.19,2.08256,1.62163,1.06297,0.73749,0.7757,0.78227,0.33297,1.908,1.15571,1.01331,0.00125216,0.00125216,0.00125216
