epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.244,1.29339,3.82669,1.08372,0.02386,0.79155,0.17585,0.11967,0.95237,3.72545,0.8869,0.000190703,0.000190703,0.000190703
2,40.8845,1.12786,2.57191,0.9762,0.44082,0.27473,0.33818,0.23232,1.00815,2.60876,0.92595,0.000383512,0.000383512,0.000383512
3,55.3389,1.10575,1.87492,0.98195,0.58014,0.52787,0.51297,0.36647,0.95208,1.71987,0.93931,0.000573088,0.000573088,0.000573088
4,69.901,1.06929,1.56951,0.97168,0.6138,0.62663,0.62991,0.45885,0.92388,1.30902,0.93252,0.000573447,0.000573447,0.000573447
5,84.3151,1.05975,1.39117,0.97545,0.68907,0.64893,0.66703,0.4798,0.94923,1.13615,0.93383,0.000568596,0.000568596,0.000568596
6,98.8239,1.00238,1.3395,0.95477,0.79559,0.66917,0.78176,0.58321,0.89438,0.98566,0.9188,0.000563745,0.000563745,0.000563745
7,113.419,0.96333,1.17612,0.93804,0.81914,0.73858,0.81933,0.61436,0.91761,1.04905,0.92883,0.000558894,0.000558894,0.000558894
8,127.972,0.96394,1.10651,0.94664,0.83052,0.80653,0.85908,0.65004,0.85358,0.8703,0.91623,0.000554043,0.000554043,0.000554043
9,142.225,0.93887,1.01269,0.92211,0.917,0.81978,0.88169,0.68661,0.81873,0.72214,0.90727,0.000549192,0.000549192,0.000549192
10,156.496,0.92106,1.01424,0.93064,0.92233,0.8715,0.88966,0.70194,0.80288,0.63234,0.90812,0.000544341,0.000544341,0.000544341
11,170.916,0.92352,0.91342,0.92567,0.92642,0.87103,0.90717,0.70889,0.80287,0.66565,0.90373,0.00053949,0.00053949,0.00053949
12,185.689,0.87489,0.87171,0.92891,0.96018,0.88145,0.9018,0.72144,0.7597,0.58461,0.89689,0.000534639,0.000534639,0.000534639
13,200.021,0.87635,0.84275,0.92334,0.96589,0.87735,0.90147,0.71946,0.76524,0.55678,0.89754,0.000529788,0.000529788,0.000529788
14,214.448,0.8723,0.8455,0.91341,0.96225,0.89893,0.90274,0.7228,0.76718,0.55456,0.89281,0.000524937,0.000524937,0.000524937
15,228.797,0.85553,0.81104,0.91272,0.95062,0.8966,0.90405,0.73149,0.74283,0.53004,0.89016,0.000520086,0.000520086,0.000520086
16,242.921,0.83691,0.75977,0.90242,0.9737,0.89791,0.90522,0.73315,0.7345,0.51322,0.89169,0.000515235,0.000515235,0.000515235
17,257.181,0.86979,0.77472,0.91696,0.9796,0.90496,0.90691,0.72952,0.76181,0.52498,0.89091,0.000510384,0.000510384,0.000510384
18,271.56,0.87018,0.78595,0.92158,0.97433,0.90166,0.90958,0.73467,0.74436,0.518,0.89513,0.000505533,0.000505533,0.000505533
19,286.074,0.8732,0.74235,0.92239,0.97661,0.89773,0.90535,0.71354,0.78071,0.51617,0.90063,0.000500682,0.000500682,0.000500682
20,300.443,0.82686,0.70358,0.91053,0.97435,0.9061,0.90892,0.73528,0.73747,0.48656,0.8881,0.000495831,0.000495831,0.000495831
21,314.659,0.79308,0.7493,0.90394,0.98001,0.90776,0.9068,0.71701,0.78668,0.49184,0.90817,0.00049098,0.00049098,0.00049098
22,328.754,0.83162,0.68104,0.90615,0.98048,0.90844,0.90845,0.73983,0.73286,0.48659,0.88265,0.000486129,0.000486129,0.000486129
23,343.129,0.7908,0.76259,0.90146,0.97934,0.90951,0.90798,0.74268,0.71416,0.45857,0.88233,0.000481278,0.000481278,0.000481278
24,357.425,0.79376,0.6803,0.9,0.98155,0.91062,0.9099,0.74706,0.7085,0.47458,0.884,0.000476427,0.000476427,0.000476427
25,371.648,0.79657,0.67067,0.89415,0.97942,0.91002,0.91206,0.74534,0.71969,0.47737,0.88929,0.000471576,0.000471576,0.000471576
26,385.766,0.82008,0.67927,0.91359,0.98165,0.90923,0.90873,0.72945,0.76198,0.47482,0.9037,0.000466725,0.000466725,0.000466725
27,400.063,0.80405,0.6401,0.90009,0.98264,0.90805,0.91221,0.74618,0.71814,0.46287,0.88507,0.000461874,0.000461874,0.000461874
28,414.165,0.80702,0.6233,0.90525,0.98335,0.91166,0.92051,0.76194,0.69625,0.43916,0.88115,0.000457023,0.000457023,0.000457023
29,428.133,0.79224,0.62643,0.9074,0.98429,0.91153,0.92076,0.7606,0.70002,0.44057,0.88437,0.000452172,0.000452172,0.000452172
30,442.448,0.78913,0.6981,0.90736,0.98245,0.91176,0.92663,0.76649,0.69423,0.4377,0.88018,0.000447321,0.000447321,0.000447321
31,456.595,0.74652,0.84469,0.86825,0.97495,0.9123,0.93081,0.771,0.68901,0.44257,0.87887,0.00044247,0.00044247,0.00044247
32,470.747,0.78576,0.62327,0.90029,0.98408,0.9129,0.91981,0.76239,0.69618,0.44777,0.88196,0.000437619,0.000437619,0.000437619
33,484.953,0.77228,0.81842,0.87887,0.98423,0.91231,0.91479,0.74949,0.72143,0.44933,0.89249,0.000432768,0.000432768,0.000432768
34,499.116,0.78345,0.65085,0.91518,0.98372,0.91169,0.9242,0.77162,0.68742,0.43131,0.88271,0.000427917,0.000427917,0.000427917
35,513.331,0.76196,0.58934,0.88997,0.98439,0.91198,0.92238,0.76903,0.67811,0.41409,0.87927,0.000423066,0.000423066,0.000423066
36,527.653,0.75095,0.57958,0.89189,0.98358,0.91091,0.91693,0.76456,0.68375,0.41534,0.87897,0.000418215,0.000418215,0.000418215
37,541.651,0.76668,0.58454,0.89635,0.98437,0.91253,0.91293,0.76287,0.6749,0.43058,0.87734,0.000413364,0.000413364,0.000413364
38,555.725,0.77558,0.59273,0.91184,0.98079,0.91014,0.91531,0.75665,0.69008,0.42982,0.88183,0.000408513,0.000408513,0.000408513
39,569.896,0.72765,0.56319,0.88953,0.98482,0.91274,0.91567,0.76094,0.68319,0.40882,0.8841,0.000403662,0.000403662,0.000403662
40,584.175,0.73504,0.54839,0.8822,0.98467,0.91277,0.95045,0.79399,0.66972,0.39752,0.87552,0.000398811,0.000398811,0.000398811
41,598.309,0.72738,0.56368,0.88203,0.98523,0.91234,0.94992,0.79194,0.66282,0.40703,0.87617,0.00039396,0.00039396,0.00039396
42,612.694,0.74607,0.55471,0.88674,0.98449,0.91243,0.93694,0.77857,0.68092,0.41157,0.8754,0.000389109,0.000389109,0.000389109
43,626.958,0.77585,0.55471,0.90296,0.98369,0.91146,0.94947,0.7914,0.67053,0.40619,0.88021,0.000384258,0.000384258,0.000384258
44,641.217,0.75438,0.59078,0.90097,0.98498,0.908,0.95113,0.7936,0.66335,0.39155,0.87732,0.000379407,0.000379407,0.000379407
45,655.309,0.75148,0.54715,0.89696,0.98272,0.91012,0.95152,0.79597,0.66826,0.39785,0.87932,0.000374556,0.000374556,0.000374556
46,669.815,0.75339,0.54916,0.89414,0.98517,0.91292,0.95122,0.79202,0.67149,0.39537,0.88139,0.000369705,0.000369705,0.000369705
47,684.213,0.75144,0.54049,0.88946,0.98473,0.91274,0.95138,0.79634,0.66448,0.39271,0.8741,0.000364854,0.000364854,0.000364854
48,698.51,0.74359,0.57153,0.89153,0.98487,0.91286,0.95125,0.7996,0.65855,0.38533,0.87395,0.000360003,0.000360003,0.000360003
49,713.871,0.75244,0.55038,0.89261,0.98349,0.9115,0.93772,0.78142,0.67292,0.39677,0.87428,0.000355152,0.000355152,0.000355152
50,729.743,0.7288,0.52108,0.88636,0.98439,0.91212,0.9506,0.79972,0.65365,0.38552,0.8735,0.000350301,0.000350301,0.000350301
51,745.462,0.7254,0.53511,0.89627,0.98371,0.91278,0.95199,0.80186,0.65163,0.38301,0.87221,0.00034545,0.00034545,0.00034545
52,760.843,0.73194,0.53486,0.8951,0.98534,0.91276,0.93854,0.79084,0.64724,0.38696,0.87191,0.000340599,0.000340599,0.000340599
53,775.286,0.74217,0.52623,0.89195,0.98296,0.91225,0.93873,0.78804,0.65842,0.38583,0.87364,0.000335748,0.000335748,0.000335748
54,789.932,0.74769,0.53044,0.89672,0.9848,0.91024,0.93877,0.78789,0.65439,0.37899,0.87363,0.000330897,0.000330897,0.000330897
55,805.171,0.74111,0.5152,0.8944,0.98464,0.91233,0.95218,0.80034,0.65628,0.37107,0.87698,0.000326046,0.000326046,0.000326046
56,820.467,0.73343,0.50912,0.888,0.98477,0.91273,0.95221,0.78929,0.70001,0.38642,0.88854,0.000321195,0.000321195,0.000321195
57,835.94,0.76452,0.52727,0.90522,0.98506,0.91313,0.95193,0.80269,0.64706,0.36946,0.87149,0.000316344,0.000316344,0.000316344
58,851.619,0.71102,0.49104,0.88191,0.98551,0.91207,0.95244,0.80466,0.64963,0.37205,0.87257,0.000311493,0.000311493,0.000311493
59,866.728,0.71007,0.49695,0.88076,0.98477,0.91257,0.95282,0.80769,0.63762,0.36928,0.86977,0.000306642,0.000306642,0.000306642
60,881.957,0.71505,0.53146,0.87809,0.98383,0.91255,0.95239,0.79356,0.67533,0.37038,0.88075,0.000301791,0.000301791,0.000301791
61,897.358,0.71436,0.51026,0.88233,0.98379,0.91311,0.95259,0.80606,0.6367,0.37022,0.86929,0.00029694,0.00029694,0.00029694
62,912.596,0.76679,0.57867,0.90793,0.98433,0.91232,0.95218,0.80496,0.63762,0.36427,0.86913,0.000292089,0.000292089,0.000292089
63,927.229,0.73298,0.52093,0.88778,0.98421,0.91179,0.95248,0.80249,0.652,0.36619,0.87534,0.000287238,0.000287238,0.000287238
64,941.64,0.7205,0.48337,0.88475,0.9849,0.91211,0.95243,0.80344,0.64576,0.37268,0.87298,0.000282387,0.000282387,0.000282387
65,956.262,0.70433,0.49123,0.88086,0.98423,0.91267,0.95286,0.80471,0.64259,0.35876,0.87346,0.000277536,0.000277536,0.000277536
66,971.13,0.70844,0.48665,0.88554,0.98551,0.91276,0.95256,0.80538,0.64102,0.35885,0.87302,0.000272685,0.000272685,0.000272685
67,985.784,0.71629,0.48573,0.88187,0.98396,0.91268,0.95246,0.80111,0.63753,0.37016,0.86943,0.000267834,0.000267834,0.000267834
68,1000.21,0.69678,0.47816,0.87866,0.98444,0.91273,0.95206,0.80311,0.63992,0.35578,0.87166,0.000262983,0.000262983,0.000262983
69,1014.68,0.71157,0.48061,0.88403,0.98433,0.91239,0.95233,0.80712,0.63743,0.35354,0.86865,0.000258132,0.000258132,0.000258132
70,1028.98,0.68699,0.48869,0.87221,0.98385,0.91243,0.95312,0.80934,0.62885,0.35419,0.86738,0.000253281,0.000253281,0.000253281
71,1044.07,0.69892,0.48127,0.89145,0.98326,0.91107,0.95331,0.80631,0.64047,0.35683,0.87266,0.00024843,0.00024843,0.00024843
72,1059.52,0.71173,0.49152,0.89132,0.98571,0.90812,0.95328,0.80437,0.63612,0.35364,0.87011,0.000243579,0.000243579,0.000243579
73,1074.65,0.70806,0.47733,0.88053,0.98457,0.91284,0.9537,0.80598,0.63665,0.34927,0.86875,0.000238728,0.000238728,0.000238728
74,1089.23,0.71472,0.48591,0.88568,0.98464,0.91251,0.9538,0.81147,0.62525,0.3479,0.86694,0.000233877,0.000233877,0.000233877
75,1104.5,0.69443,0.45955,0.87863,0.98487,0.91263,0.95366,0.81222,0.62576,0.34908,0.86602,0.000229026,0.000229026,0.000229026
76,1119.05,0.70284,0.46025,0.88151,0.98559,0.9128,0.95354,0.80944,0.62571,0.34587,0.86766,0.000224175,0.000224175,0.000224175
77,1133.69,0.71516,0.47293,0.88818,0.98525,0.91272,0.95367,0.80956,0.62649,0.3516,0.86828,0.000219324,0.000219324,0.000219324
78,1148.23,0.71488,0.46148,0.88623,0.98491,0.91315,0.95392,0.8074,0.63414,0.34448,0.87205,0.000214473,0.000214473,0.000214473
79,1162.57,0.69357,0.45309,0.88149,0.98327,0.91451,0.95335,0.81073,0.62589,0.34591,0.86765,0.000209622,0.000209622,0.000209622
